Image,Category,Mean,Std,Edge_Density,Edge_Strength,Texture_Variance,Noise,Prediction
0425.jpg,real,122.13,52.34,0.2734,144.66,2512.49,14.10,REAL
0426 (10).jpg,real,111.66,58.02,0.3418,219.74,6499.49,23.72,MAYBE_AI
0426 (2).jpg,real,76.01,55.88,0.2402,185.73,4719.61,19.91,REAL
0426 (3).jpg,real,58.05,36.67,0.3086,111.10,2335.01,12.96,MAYBE_AI
0426 (4).jpg,real,86.02,59.80,0.2969,146.85,2136.88,14.01,REAL
0426 (5).jpg,real,114.37,41.94,0.3633,165.72,3822.52,17.84,MAYBE_AI
0426 (6).jpg,real,139.01,66.31,0.2490,159.21,1414.39,12.75,REAL
0426 (7).jpg,real,119.16,44.78,0.3740,162.62,2997.68,15.92,MAYBE_AI
0426 (8).jpg,real,112.98,50.43,0.3379,146.65,1808.25,13.17,REAL
0426 (9).jpg,real,99.64,58.03,0.1963,137.00,2179.33,14.00,REAL
0426.jpg,real,153.12,42.83,0.1338,77.87,1066.02,9.81,REAL
0427 (10).jpg,real,103.94,59.81,0.2754,139.35,2606.55,14.46,REAL
0427 (2).jpg,real,162.70,67.15,0.1680,102.25,1062.37,9.78,REAL
0427 (3).jpg,real,162.60,36.31,0.2598,123.84,1869.05,13.87,REAL
0427 (4).jpg,real,89.90,55.06,0.2207,112.71,1234.86,10.61,REAL
0427 (5).jpg,real,134.41,58.81,0.2939,156.33,2797.89,15.21,REAL
0427 (6).jpg,real,131.45,64.90,0.3271,179.21,2678.33,15.30,MAYBE_AI
0427 (7).jpg,real,129.44,39.88,0.3438,145.06,2186.05,13.57,MAYBE_AI
0427 (8).jpg,real,110.16,46.63,0.3340,171.82,2493.71,15.76,MAYBE_AI
0427 (9).jpg,real,146.88,49.68,0.0830,69.76,616.40,7.76,REAL
0427.jpg,real,118.50,34.35,0.2246,109.50,2126.49,13.38,REAL
0428 (10).jpg,real,120.86,62.35,0.3311,161.69,2626.63,15.18,MAYBE_AI
0428 (2).jpg,real,193.96,71.39,0.2305,228.33,9503.24,27.63,MAYBE_AI
0428 (3).jpg,real,91.34,33.24,0.2480,92.97,2085.09,14.10,REAL
0428 (4).jpg,real,141.91,62.92,0.2666,154.33,3213.37,16.72,REAL
0428 (5).jpg,real,106.43,50.03,0.3047,126.67,1836.75,11.97,REAL
0428 (6).jpg,real,131.74,68.47,0.3252,182.32,2755.26,16.00,MAYBE_AI
0428 (7).jpg,real,130.94,39.45,0.2852,111.90,2536.25,13.86,REAL
0428 (8).jpg,real,123.55,31.77,0.1465,70.92,602.76,7.47,REAL
0428 (9).jpg,real,141.14,50.70,0.2139,82.78,447.13,6.90,REAL
0428.jpg,real,79.50,20.97,0.0664,46.40,526.75,6.89,REAL
0429 (10).jpg,real,123.23,62.74,0.3066,176.59,3183.52,17.21,MAYBE_AI
0429 (2).jpg,real,119.93,61.38,0.3252,165.13,3649.29,17.43,MAYBE_AI
0429 (3).jpg,real,156.00,22.02,0.1045,65.56,1300.30,9.85,REAL
0429 (4).jpg,real,106.15,55.62,0.2695,94.52,749.60,7.97,REAL
0429 (5).jpg,real,177.12,26.78,0.1123,64.25,652.51,7.30,REAL
0429 (6).jpg,real,138.07,52.18,0.2959,137.66,1985.35,12.65,REAL
0429 (7).jpg,real,139.82,41.06,0.3008,115.45,1855.26,12.15,REAL
0429 (8).jpg,real,167.88,56.46,0.3164,161.81,3689.81,17.76,MAYBE_AI
0429 (9).jpg,real,117.86,46.48,0.1270,104.08,2926.68,16.22,REAL
0429.jpg,real,37.37,43.05,0.2090,104.41,2138.67,12.55,REAL
0430 (10).jpg,real,99.23,50.50,0.3047,120.83,1927.56,12.06,REAL
0430 (2).jpg,real,110.80,49.63,0.3164,156.62,2445.49,14.77,MAYBE_AI
0430 (3).jpg,real,57.55,47.54,0.1562,110.33,1010.38,10.62,REAL
0430 (4).jpg,real,97.12,41.75,0.2871,142.34,2292.97,13.95,REAL
0430 (5).jpg,real,147.05,40.45,0.3330,120.06,1560.89,11.12,REAL
0430 (6).jpg,real,123.13,51.90,0.2568,133.51,1864.98,13.43,REAL
0430 (7).jpg,real,124.72,79.22,0.3145,241.74,5674.64,23.27,MAYBE_AI
0430 (8).jpg,real,92.68,47.35,0.3135,166.40,3300.81,16.99,MAYBE_AI
0430 (9).jpg,real,105.38,35.51,0.1416,75.32,557.18,7.29,REAL
0430.jpg,real,110.00,34.87,0.1182,90.35,1641.35,12.37,REAL
0431 (10).jpg,real,103.68,48.55,0.2383,117.76,1885.66,12.83,REAL
0431 (2).jpg,real,117.03,54.22,0.3027,209.28,5967.09,22.46,MAYBE_AI
0431 (3).jpg,real,156.83,48.37,0.1689,127.17,1704.97,12.92,REAL
0431 (4).jpg,real,105.56,47.24,0.3896,178.58,7259.10,26.12,AI
0431 (5).jpg,real,135.01,35.50,0.2051,103.21,1113.08,10.41,REAL
0431 (6).jpg,real,110.69,75.99,0.1787,161.91,4334.18,19.04,REAL
0431 (7).jpg,real,81.60,43.80,0.2188,116.58,2857.72,14.05,REAL
0431 (8).jpg,real,139.82,45.63,0.3076,147.98,2875.50,14.80,MAYBE_AI
0431 (9).jpg,real,142.38,80.20,0.1465,103.82,1142.34,10.43,REAL
0431.jpg,real,193.42,47.21,0.2305,150.34,4697.98,20.63,REAL
0432 (10).jpg,real,117.74,56.63,0.2969,163.71,3567.61,17.40,REAL
0432 (2).jpg,real,165.53,70.02,0.2822,198.47,4864.24,20.72,REAL
0432 (3).jpg,real,131.43,25.13,0.2617,81.70,866.49,8.57,REAL
0432 (4).jpg,real,123.95,65.33,0.2334,153.11,2469.36,15.31,REAL
0432 (5).jpg,real,111.50,23.34,0.3145,89.24,1722.11,11.16,REAL
0432 (6).jpg,real,109.55,45.11,0.3301,139.79,1521.96,12.26,REAL
0432 (7).jpg,real,115.74,43.61,0.3438,160.45,3504.78,17.12,MAYBE_AI
0432 (8).jpg,real,101.38,49.11,0.2939,144.14,2046.57,13.47,REAL
0432 (9).jpg,real,136.78,44.07,0.2695,109.87,2084.47,13.04,REAL
0432.jpg,real,154.91,30.35,0.2412,94.56,1790.27,10.93,REAL
0433 (10).jpg,real,108.89,57.78,0.3145,211.24,6189.42,22.05,MAYBE_AI
0433 (2).jpg,real,151.02,57.27,0.2793,167.87,4953.31,19.75,REAL
0433 (3).jpg,real,119.56,25.49,0.2686,61.67,481.59,6.16,REAL
0433 (4).jpg,real,118.83,44.00,0.2490,124.49,2181.64,13.31,REAL
0433 (5).jpg,real,140.80,59.75,0.2646,131.28,2255.98,13.64,REAL
0433 (6).jpg,real,161.09,51.55,0.3125,158.61,1502.93,12.56,REAL
0433 (7).jpg,real,118.56,38.70,0.3730,165.54,5221.78,18.89,MAYBE_AI
0433 (8).jpg,real,131.47,49.17,0.1914,117.07,2020.34,12.99,REAL
0433 (9).jpg,real,129.04,45.75,0.1904,127.43,2356.43,14.41,REAL
0433.jpg,real,162.86,50.13,0.2090,146.55,2518.87,15.17,REAL
0434 (10).jpg,real,82.41,45.94,0.3252,157.36,2970.44,16.27,MAYBE_AI
0434 (2).jpg,real,101.17,43.47,0.2510,161.70,3162.32,16.73,REAL
0434 (3).jpg,real,93.57,33.62,0.1943,78.55,945.43,9.03,REAL
0434 (4).jpg,real,99.34,66.59,0.3125,231.68,6113.67,22.08,MAYBE_AI
0434 (5).jpg,real,139.02,47.61,0.3262,153.41,2714.17,16.31,MAYBE_AI
0434 (6).jpg,real,99.74,57.89,0.2686,156.40,2361.84,14.97,REAL
0434 (7).jpg,real,75.38,27.67,0.3457,109.49,1951.02,11.95,REAL
0434 (8).jpg,real,143.62,84.30,0.2539,152.06,3203.71,16.46,REAL
0434 (9).jpg,real,171.18,67.96,0.1367,90.10,607.01,7.83,REAL
0434.jpg,real,148.23,42.97,0.2266,93.81,2619.86,15.26,REAL
0435 (10).jpg,real,89.89,53.05,0.2822,175.49,3564.72,17.97,REAL
0435 (2).jpg,real,69.39,57.77,0.2715,153.67,2551.76,15.24,REAL
0435 (3).jpg,real,136.56,34.78,0.3447,106.76,1768.28,11.44,REAL
0435 (4).jpg,real,93.46,51.70,0.2881,122.50,1228.30,11.13,REAL
0435 (5).jpg,real,115.55,43.81,0.3125,124.27,1514.79,11.30,REAL
0435 (6).jpg,real,116.34,54.26,0.2881,174.43,3046.77,16.27,REAL
0435 (7).jpg,real,61.95,60.33,0.2246,118.13,6358.62,23.06,REAL
0435 (8).jpg,real,124.68,35.87,0.3086,120.28,2778.12,14.46,MAYBE_AI
0435 (9).jpg,real,153.96,71.43,0.1377,105.63,1293.81,11.13,REAL
0435.jpg,real,100.64,45.78,0.2822,133.64,2048.90,13.48,REAL
0436 (10).jpg,real,122.54,56.78,0.3115,192.36,3704.43,18.21,MAYBE_AI
0436 (2).jpg,real,180.68,65.43,0.2197,156.44,3988.44,18.49,REAL
0436 (3).jpg,real,107.77,34.65,0.2246,108.88,2221.01,12.47,REAL
0436 (4).jpg,real,87.19,33.62,0.3105,124.09,1774.39,12.87,REAL
0436 (5).jpg,real,150.74,39.48,0.3096,151.35,2650.42,14.98,MAYBE_AI
0436 (6).jpg,real,106.30,46.26,0.3457,167.87,2491.49,15.13,MAYBE_AI
0436 (7).jpg,real,112.82,34.34,0.3799,147.95,4354.83,17.19,MAYBE_AI
0436 (8).jpg,real,124.06,39.23,0.2646,119.44,2142.75,13.55,REAL
0436 (9).jpg,real,118.74,52.98,0.2578,163.27,2118.81,15.20,REAL
0436.jpg,real,205.13,64.32,0.1396,131.95,2730.43,15.19,REAL
0437 (10).jpg,real,138.43,79.52,0.2529,166.78,3234.66,17.16,REAL
0437 (2).jpg,real,142.23,73.48,0.2666,230.94,7372.23,25.23,MAYBE_AI
0437 (3).jpg,real,76.19,48.24,0.2148,112.04,1361.94,11.28,REAL
0437 (4).jpg,real,112.76,54.08,0.2803,119.16,2121.54,13.03,REAL
0437 (5).jpg,real,138.07,41.77,0.1543,102.35,1353.64,11.24,REAL
0437 (6).jpg,real,200.14,30.38,0.2188,96.87,1364.66,10.93,REAL
0437 (7).jpg,real,104.71,36.19,0.3506,127.33,2062.47,12.70,MAYBE_AI
0437 (8).jpg,real,139.51,51.02,0.3086,166.05,3215.29,16.92,MAYBE_AI
0437 (9).jpg,real,112.19,49.57,0.2188,139.43,2092.86,14.02,REAL
0437.jpg,real,204.14,41.49,0.0840,83.61,2114.57,13.33,REAL
0438 (10).jpg,real,109.82,71.54,0.2891,153.14,3106.72,16.17,REAL
0438 (2).jpg,real,194.84,59.52,0.1377,115.01,2493.26,14.57,REAL
0438 (3).jpg,real,103.68,13.82,0.1045,41.16,731.29,6.72,REAL
0438 (4).jpg,real,109.34,45.71,0.1748,99.46,748.34,8.67,REAL
0438 (5).jpg,real,99.14,47.37,0.2764,131.06,3015.53,15.32,REAL
0438 (6).jpg,real,114.58,52.30,0.3066,148.68,2936.13,14.89,MAYBE_AI
0438 (7).jpg,real,131.18,55.37,0.3145,157.42,3220.84,16.20,MAYBE_AI
0438 (8).jpg,real,136.13,56.26,0.2734,145.44,2773.69,15.42,REAL
0438 (9).jpg,real,132.18,40.83,0.0566,49.26,645.80,7.25,REAL
0438.jpg,real,194.42,28.04,0.1230,78.15,1195.31,10.60,REAL
0439 (10).jpg,real,183.97,42.45,0.2061,102.10,1387.76,11.83,REAL
0439 (2).jpg,real,132.77,70.15,0.3135,182.72,4019.00,17.89,MAYBE_AI
0439 (3).jpg,real,120.66,38.87,0.2080,91.38,1093.69,9.82,REAL
0439 (4).jpg,real,102.31,53.54,0.3057,132.91,1601.56,11.61,REAL
0439 (5).jpg,real,106.24,38.96,0.3506,131.59,2425.03,14.38,MAYBE_AI
0439 (6).jpg,real,121.24,76.94,0.2305,157.14,3136.81,16.13,REAL
0439 (7).jpg,real,74.82,48.61,0.2900,164.12,4354.74,19.34,REAL
0439 (8).jpg,real,129.32,52.98,0.3477,202.26,4925.97,20.43,MAYBE_AI
0439 (9).jpg,real,138.53,58.59,0.1807,149.72,2468.47,15.08,REAL
0439.jpg,real,98.09,44.42,0.1377,67.22,672.62,7.63,REAL
0440 (10).jpg,real,141.19,92.44,0.2344,218.52,5057.53,21.37,REAL
0440 (2).jpg,real,126.55,54.74,0.3105,154.45,2722.01,14.76,MAYBE_AI
0440 (3).jpg,real,183.13,74.59,0.1650,139.58,2469.02,15.08,REAL
0440 (4).jpg,real,100.87,43.16,0.3457,152.77,2949.47,14.95,MAYBE_AI
0440 (5).jpg,real,128.12,35.31,0.3096,126.65,2536.41,13.83,MAYBE_AI
0440 (6).jpg,real,105.50,72.29,0.2666,192.76,3500.81,18.35,REAL
0440 (7).jpg,real,109.86,28.33,0.2588,101.59,1516.52,11.18,REAL
0440 (8).jpg,real,125.50,48.64,0.3398,152.57,3175.60,15.59,MAYBE_AI
0440 (9).jpg,real,150.55,83.41,0.2246,117.26,1157.91,10.50,REAL
0440.jpg,real,179.36,62.33,0.2236,158.89,1901.51,13.77,REAL
0441 (10).jpg,real,206.80,56.66,0.2422,166.34,3248.94,17.07,REAL
0441 (2).jpg,real,115.99,62.23,0.3262,209.36,4923.04,21.31,MAYBE_AI
0441 (3).jpg,real,125.21,48.55,0.3613,179.94,4278.74,17.89,MAYBE_AI
0441 (4).jpg,real,60.83,37.98,0.3164,123.71,1901.71,12.53,REAL
0441 (5).jpg,real,111.14,42.14,0.1660,71.43,438.79,6.25,REAL
0441 (6).jpg,real,157.96,38.51,0.1562,94.74,1050.96,10.47,REAL
0441 (7).jpg,real,98.81,47.71,0.3174,124.30,4944.18,20.62,MAYBE_AI
0441 (8).jpg,real,130.79,61.15,0.2822,134.36,2009.41,12.98,REAL
0441 (9).jpg,real,97.78,41.79,0.1836,119.06,1787.26,13.05,REAL
0441.jpg,real,168.69,31.22,0.1865,96.51,1506.72,11.42,REAL
0442 (10).jpg,real,150.00,45.40,0.3213,178.50,3797.33,18.24,MAYBE_AI
0442 (2).jpg,real,115.21,64.37,0.3066,189.97,5929.79,21.77,MAYBE_AI
0442 (3).jpg,real,132.52,68.77,0.2783,197.22,7701.32,26.11,MAYBE_AI
0442 (4).jpg,real,89.43,39.09,0.3105,118.25,1299.86,11.03,REAL
0442 (5).jpg,real,155.50,39.59,0.3369,118.74,2063.10,12.89,MAYBE_AI
0442 (6).jpg,real,118.17,60.63,0.3115,137.39,1685.06,12.54,REAL
0442 (7).jpg,real,116.87,31.22,0.3848,141.02,3760.63,16.57,MAYBE_AI
0442 (8).jpg,real,109.31,61.14,0.3018,171.19,3658.92,17.25,MAYBE_AI
0442 (9).jpg,real,130.25,53.33,0.2764,146.62,1636.20,12.69,REAL
0442.jpg,real,134.36,35.62,0.1143,82.86,1084.68,9.87,REAL
0443 (10).jpg,real,88.38,68.00,0.3301,235.22,8642.76,28.50,AI
0443 (2).jpg,real,216.37,58.09,0.1816,160.85,4892.71,20.18,REAL
0443 (3).jpg,real,104.12,29.67,0.3496,97.08,1937.09,11.38,REAL
0443 (4).jpg,real,75.71,51.35,0.2979,148.99,3540.19,16.18,REAL
0443 (5).jpg,real,128.82,38.86,0.3506,137.92,2853.02,15.24,MAYBE_AI
0443 (6).jpg,real,157.24,27.67,0.3232,94.22,1230.31,10.31,REAL
0443 (7).jpg,real,86.77,46.85,0.3008,139.46,1921.19,13.23,REAL
0443 (8).jpg,real,122.67,55.55,0.3613,185.35,4518.65,19.26,MAYBE_AI
0443 (9).jpg,real,97.43,51.92,0.1797,80.77,965.80,8.74,REAL
0443.jpg,real,148.18,37.77,0.1328,86.02,1259.61,10.68,REAL
0444 (10).jpg,real,123.61,62.17,0.2588,130.80,2440.74,14.22,REAL
0444 (2).jpg,real,136.36,64.38,0.2441,148.94,1400.46,11.92,REAL
0444 (3).jpg,real,145.56,31.60,0.3486,101.67,1404.38,10.63,REAL
0444 (4).jpg,real,121.22,54.14,0.3398,159.31,2677.91,14.67,MAYBE_AI
0444 (5).jpg,real,99.75,40.81,0.3525,157.89,2504.57,14.49,MAYBE_AI
0444 (6).jpg,real,104.92,81.47,0.2607,208.31,4599.46,20.93,REAL
0444 (7).jpg,real,67.27,59.95,0.2197,125.83,2761.42,14.07,REAL
0444 (8).jpg,real,130.94,54.41,0.2539,164.00,3407.15,17.21,REAL
0444 (9).jpg,real,176.67,54.04,0.1113,83.19,630.79,7.83,REAL
0444.jpg,real,127.88,32.63,0.1787,79.07,812.41,8.39,REAL
0445 (10).jpg,real,108.25,82.69,0.2695,170.47,3077.24,16.11,REAL
0445 (2).jpg,real,34.87,41.84,0.1885,106.10,2239.21,13.77,REAL
0445 (3).jpg,real,149.93,31.54,0.2744,121.80,906.18,9.84,REAL
0445 (4).jpg,real,98.60,48.03,0.2500,95.53,946.54,9.16,REAL
0445 (5).jpg,real,151.79,56.13,0.2656,145.31,3804.57,16.14,REAL
0445 (6).jpg,real,104.07,42.44,0.3086,128.64,2060.73,13.11,MAYBE_AI
0445 (7).jpg,real,96.83,23.62,0.2363,71.80,678.41,7.21,REAL
0445 (8).jpg,real,105.81,51.48,0.2637,132.80,1948.60,13.50,REAL
0445 (9).jpg,real,132.95,61.03,0.0898,62.42,1035.54,9.38,REAL
0445.jpg,real,91.31,56.79,0.1914,168.46,3239.44,17.08,REAL
0446 (10).jpg,real,144.48,79.77,0.3076,225.55,8541.50,25.35,AI
0446 (2).jpg,real,68.60,43.80,0.3369,136.01,2954.93,16.21,MAYBE_AI
0446 (3).jpg,real,123.75,30.59,0.1016,77.32,568.97,7.23,REAL
0446 (4).jpg,real,134.18,40.79,0.3477,168.07,4172.97,17.53,MAYBE_AI
0446 (5).jpg,real,126.89,56.43,0.2451,91.10,787.66,8.40,REAL
0446 (6).jpg,real,121.11,52.04,0.3105,149.53,1964.55,12.95,REAL
0446 (7).jpg,real,125.98,34.70,0.3271,112.13,2904.18,15.61,MAYBE_AI
0446 (8).jpg,real,109.18,62.03,0.2930,188.07,4667.89,19.25,REAL
0446 (9).jpg,real,160.63,53.32,0.1992,106.34,1446.17,11.41,REAL
0446.jpg,real,136.82,50.27,0.3516,178.34,3544.78,17.05,MAYBE_AI
0447 (10).jpg,real,91.32,48.18,0.2900,127.60,2152.36,13.49,REAL
0447 (2).jpg,real,133.44,63.26,0.3125,178.03,4219.28,19.68,MAYBE_AI
0447 (3).jpg,real,122.74,58.49,0.2051,128.38,1925.99,13.93,REAL
0447 (4).jpg,real,111.43,53.80,0.2207,120.47,657.14,8.61,REAL
0447 (5).jpg,real,136.87,25.18,0.2773,95.68,1666.14,11.65,REAL
0447 (6).jpg,real,83.01,62.30,0.1631,149.93,2193.23,14.60,REAL
0447 (7).jpg,real,134.39,28.49,0.3057,93.91,1098.81,9.51,REAL
0447 (8).jpg,real,122.32,69.88,0.1807,118.19,1818.56,12.47,REAL
0447 (9).jpg,real,96.86,57.81,0.2188,96.63,1136.01,9.81,REAL
0447.jpg,real,196.01,36.89,0.0527,59.81,1059.44,9.99,REAL
0448 (10).jpg,real,115.22,53.56,0.3389,176.17,3692.50,18.73,MAYBE_AI
0448 (2).jpg,real,104.44,38.55,0.3135,139.58,2106.27,13.77,MAYBE_AI
0448 (3).jpg,real,124.96,16.97,0.1484,54.60,673.87,7.33,REAL
0448 (4).jpg,real,99.11,42.37,0.2861,132.04,1910.74,12.93,REAL
0448 (5).jpg,real,138.88,34.71,0.3574,112.87,1291.61,10.07,REAL
0448 (6).jpg,real,91.57,45.76,0.1816,94.79,890.27,9.55,REAL
0448 (7).jpg,real,110.28,45.22,0.3291,144.33,3205.45,15.10,MAYBE_AI
0448 (8).jpg,real,168.84,55.06,0.2773,178.37,4162.93,18.97,REAL
0448 (9).jpg,real,129.58,32.71,0.1904,82.18,1035.28,9.37,REAL
0448.jpg,real,167.55,50.11,0.2031,147.51,2785.21,15.39,REAL
0449 (10).jpg,real,126.44,55.86,0.3086,215.69,4123.08,20.01,MAYBE_AI
0449 (2).jpg,real,137.33,53.87,0.3311,166.40,4111.26,18.61,MAYBE_AI
0449 (3).jpg,real,131.00,42.67,0.3291,150.04,2012.91,13.76,MAYBE_AI
0449 (4).jpg,real,103.10,69.85,0.2422,182.27,2812.65,16.37,REAL
0449 (5).jpg,real,126.19,33.77,0.2695,74.23,618.91,7.15,REAL
0449 (6).jpg,real,193.12,45.00,0.3027,138.89,1894.59,13.12,REAL
0449 (7).jpg,real,126.94,40.95,0.3633,134.79,3474.18,15.77,MAYBE_AI
0449 (8).jpg,real,154.93,63.52,0.2637,145.12,2289.36,14.06,REAL
0449 (9).jpg,real,127.07,66.88,0.2773,201.85,5347.87,21.70,REAL
0449.jpg,real,160.14,54.33,0.1416,125.32,2434.09,14.62,REAL
0450 (10).jpg,real,133.93,59.80,0.3086,153.65,2181.51,14.11,MAYBE_AI
0450 (2).jpg,real,128.73,51.66,0.2607,197.73,2998.03,17.92,REAL
0450 (3).jpg,real,60.55,24.52,0.2373,60.59,405.69,6.16,REAL
0450 (4).jpg,real,121.06,56.83,0.2148,81.37,520.79,7.20,REAL
0450 (5).jpg,real,115.33,37.10,0.3877,159.34,3686.40,17.05,MAYBE_AI
0450 (6).jpg,real,97.50,36.07,0.2266,102.60,1552.20,10.70,REAL
0450 (7).jpg,real,132.65,32.35,0.2969,116.48,1959.23,12.78,REAL
0450 (8).jpg,real,113.37,68.86,0.3115,154.38,3602.51,17.41,MAYBE_AI
0450 (9).jpg,real,146.58,60.57,0.2793,186.67,7140.38,23.08,REAL
0450.jpg,real,169.06,45.23,0.2646,157.81,4123.47,18.55,REAL
0451 (10).jpg,real,125.42,56.01,0.3213,187.71,4058.46,19.65,MAYBE_AI
0451 (2).jpg,real,116.70,55.68,0.2959,167.64,3134.62,17.48,REAL
0451 (3).jpg,real,102.81,12.24,0.0684,28.83,201.76,4.35,REAL
0451 (4).jpg,real,132.07,55.98,0.2432,117.91,1657.15,11.66,REAL
0451 (5).jpg,real,74.79,17.51,0.2051,58.00,543.78,6.55,REAL
0451 (6).jpg,real,105.24,53.55,0.3115,151.84,2001.31,13.49,MAYBE_AI
0451 (7).jpg,real,141.75,42.52,0.3350,110.61,2630.04,13.29,MAYBE_AI
0451 (8).jpg,real,103.02,56.94,0.3398,148.75,2611.02,14.72,MAYBE_AI
0451 (9).jpg,real,134.75,23.53,0.1270,57.42,609.24,7.66,REAL
0451.jpg,real,167.79,68.82,0.3408,185.00,5555.90,21.40,MAYBE_AI
0452 (10).jpg,real,135.71,60.72,0.2656,155.83,2559.80,14.95,REAL
0452 (2).jpg,real,101.07,43.47,0.2920,148.39,2689.68,14.81,REAL
0452 (3).jpg,real,111.78,43.35,0.2090,118.96,843.50,9.51,REAL
0452 (4).jpg,real,110.44,35.16,0.2959,142.85,2880.23,15.90,REAL
0452 (5).jpg,real,118.88,25.00,0.1924,62.28,662.97,7.12,REAL
0452 (6).jpg,real,148.88,35.37,0.2383,108.11,1589.05,11.31,REAL
0452 (7).jpg,real,83.92,47.50,0.3398,148.72,3007.57,15.25,MAYBE_AI
0452 (8).jpg,real,93.70,36.29,0.2383,127.89,2804.00,14.92,REAL
0452 (9).jpg,real,140.11,51.70,0.2100,103.44,1044.20,9.86,REAL
0452.jpg,real,139.26,57.69,0.1895,138.47,3737.17,16.95,REAL
0453 (10).jpg,real,122.56,59.11,0.2969,178.16,3192.23,17.48,REAL
0453 (2).jpg,real,101.26,62.92,0.3418,185.82,3870.40,18.25,MAYBE_AI
0453 (3).jpg,real,108.26,21.10,0.2568,72.36,1485.92,9.97,REAL
0453 (4).jpg,real,110.50,74.74,0.2910,147.66,2430.86,14.32,REAL
0453 (5).jpg,real,142.49,31.36,0.3350,113.95,1714.95,11.97,REAL
0453 (6).jpg,real,119.07,32.76,0.2402,101.75,1245.73,10.37,REAL
0453 (7).jpg,real,132.58,42.44,0.3633,138.21,2478.74,14.23,MAYBE_AI
0453 (8).jpg,real,86.52,39.83,0.2256,110.53,2569.69,14.15,REAL
0453 (9).jpg,real,170.05,47.90,0.1641,76.44,719.32,8.16,REAL
0453.jpg,real,195.81,34.45,0.0801,77.65,1718.25,11.96,REAL
0454 (10).jpg,real,124.37,47.92,0.3369,125.57,2371.99,13.79,MAYBE_AI
0454 (2).jpg,real,115.43,48.87,0.2432,127.15,1565.42,11.86,REAL
0454 (3).jpg,real,130.87,55.93,0.2930,146.04,1370.01,11.58,REAL
0454 (4).jpg,real,143.07,45.27,0.2217,124.35,1574.52,11.52,REAL
0454 (5).jpg,real,81.24,32.00,0.3506,111.65,2528.60,13.63,MAYBE_AI
0454 (6).jpg,real,105.02,48.32,0.1855,145.32,4071.59,18.58,REAL
0454 (7).jpg,real,127.37,41.49,0.3311,132.31,3239.85,15.23,MAYBE_AI
0454 (8).jpg,real,144.57,60.78,0.2744,159.50,3341.39,16.87,REAL
0454 (9).jpg,real,81.25,38.02,0.2207,83.33,1014.19,9.40,REAL
0454.jpg,real,94.55,26.93,0.0771,46.21,281.26,5.26,REAL
0455 (10).jpg,real,86.26,45.14,0.3457,142.74,2513.10,14.43,MAYBE_AI
0455 (2).jpg,real,158.03,82.10,0.2061,178.93,2440.78,15.66,REAL
0455 (3).jpg,real,122.63,19.74,0.1865,59.72,679.02,7.45,REAL
0455 (4).jpg,real,137.56,45.93,0.2432,121.73,1472.78,11.45,REAL
0455 (5).jpg,real,109.69,18.52,0.2227,58.41,466.12,6.27,REAL
0455 (6).jpg,real,174.77,59.98,0.2871,191.96,2907.30,17.32,REAL
0455 (7).jpg,real,122.16,52.07,0.3896,220.64,13767.45,27.88,AI
0455 (8).jpg,real,96.99,54.10,0.2109,119.58,2161.06,14.22,REAL
0455 (9).jpg,real,119.65,59.27,0.3066,167.51,2334.92,14.73,MAYBE_AI
0455.jpg,real,151.99,53.71,0.1699,139.61,4582.32,18.65,REAL
0456 (10).jpg,real,96.15,77.77,0.2930,225.55,6170.19,22.85,REAL
0456 (2).jpg,real,127.65,44.35,0.2451,178.54,3681.46,19.04,REAL
0456 (3).jpg,real,120.17,45.74,0.2783,134.84,2785.58,14.55,REAL
0456 (4).jpg,real,167.75,63.83,0.1650,133.26,1413.99,11.90,REAL
0456 (5).jpg,real,93.13,35.16,0.2041,67.13,476.95,6.38,REAL
0456 (6).jpg,real,87.56,47.79,0.2607,110.73,1633.00,11.38,REAL
0456 (7).jpg,real,111.88,34.49,0.3467,133.54,2946.24,14.40,MAYBE_AI
0456 (8).jpg,real,80.69,92.95,0.1680,194.22,4377.29,19.59,REAL
0456 (9).jpg,real,147.40,41.79,0.1738,81.67,723.34,8.28,REAL
0456.jpg,real,161.08,61.26,0.2285,144.34,2164.16,13.74,REAL
0457 (10).jpg,real,154.31,61.11,0.1621,131.96,1801.77,12.88,REAL
0457 (2).jpg,real,119.28,48.19,0.3125,164.21,3693.71,17.44,MAYBE_AI
0457 (3).jpg,real,191.33,34.42,0.0908,65.98,574.45,7.80,REAL
0457 (4).jpg,real,113.07,76.37,0.2656,130.27,1245.34,10.81,REAL
0457 (5).jpg,real,85.65,63.16,0.3154,174.26,4351.15,19.58,MAYBE_AI
0457 (6).jpg,real,121.74,84.05,0.2705,185.05,3571.57,17.76,REAL
0457 (7).jpg,real,113.33,45.55,0.3545,172.93,4282.79,18.08,MAYBE_AI
0457 (8).jpg,real,158.93,48.85,0.2744,136.40,2399.85,14.31,REAL
0457 (9).jpg,real,106.12,57.08,0.2207,166.12,4633.34,20.58,REAL
0457.jpg,real,112.47,37.75,0.2002,108.48,1365.49,11.00,REAL
0458 (10).jpg,real,121.69,67.39,0.2754,180.54,3370.70,17.62,REAL
0458 (2).jpg,real,164.87,63.08,0.2979,189.57,4844.14,20.35,REAL
0458 (3).jpg,real,89.85,43.55,0.2686,109.14,3087.33,14.18,REAL
0458 (4).jpg,real,58.25,44.84,0.1748,89.99,627.60,7.68,REAL
